OBJECTID,Site name,Number of spills,Spill duration (hours per year),Percent of reporting operational,Company name,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,DISTRICT_COUNCIL,CATC_NAME,PERMIT_NUMBER,RECEIVING_WATER,REC_ENV_CODE_DESCRIPTION,Outlet type,Grid reference,Effluent type,Year of Data,Disputed,Disputed data detail,x,y
4051,MACDONALD STREET CSO 2 (DIGBETH - MACDONALD STREET O/L 2 (CSO)),8,1,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),MACDONALD ST-CHARLES HENRY ST,BIRMINGHAM,,EPRKP3223XS,RIVER REA,Freshwater river,Sewage - water company,SP0751785777,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,407593,285752
4052,MANHOLE NO.1 NR THE PUMPING STATION (GREAT HAYWOOD - MANHOLE 1 (CSO)),16,45,82.48%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF 23 ELM CLOSE,STAFFORD,UPPER TRENT,T/01/00104/O,RIVER TRENT (NON TIDAL),Freshwater river,Sewage - water company,SJ9960022800,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,399633,322862
4053,LADYWOOD CSO (IRONBRIDGE - LADYWOOD (CSO)),21,22,99.82%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),LADYWOOD,TELFORD & WREKIN UA,"UPPER MID-SEVERN, ENGLAND",S/02/26850/O,TRIBUTARY OF RIVER SEVERN,Freshwater river,Sewage - water company,SJ6727003291,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,367276,303288
4054,BRIERLEY HILL ROAD STORM OVERFLOW (BRIERLEY HILL - BRIERLEY HILL ROAD (CSO)),2,1,98.85%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),51 BRIERLEY HILL ROAD,DUDLEY,RIVER STOUR (WORCS),S/06/55761/O,WORDSLEY BROOK,Freshwater river,Sewage - water company,SO9014087200,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,390194,287007
4055,HAYES LANE STORM SEWAGE OVERFLOW (LYE - HAYES LANE (CSO)),0,0,99.88%,SEVERN TRENT WATER LIMITED,WwTW/Sewage Treatment Works (water company),SEVERN TRENT WATER,DUDLEY,RIVER STOUR (WORCS),S/06/55808/O,RIVER STOUR,Freshwater river,Sewage - water company,SO9306085150,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,393060,285150
4056,COLE AVENUE STORM OVERFLOW (TUFFLEY - COLE AV/PODSMEAD RD (CSO)),1,0,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR THE SCHOOL BUNGALOW,GLOUCESTER,LOWER SEVERN,S/20/23082/O,TRIB OF RIVER SEVERN,Freshwater river,Sewage - water company,SO8214016160,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,382472,215543
4057,BARLASTON COMBINED Sewer OVERFLOW (BARLASTON - OLD ROAD (CSO)),4,4,62.59%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF MEADOW COURT,STAFFORD,UPPER TRENT,T/01/12326/O,BARLASTON BROOK,Freshwater river,Sewage - water company,SJ8818038520,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,388216,338541
4058,BATH ROAD (LONGTON - BATHS ROAD/MOULTON ROAD (CSO)),0,0,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),BATHS ROAD,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/22805/O,ANCHOR BROOK,Freshwater river,Sewage - water company,SJ9092043600,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,390920,343603
4059,KING STREET SSO (NEWCASTLE - KING STREET (CSO)),9,1,99.83%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),26 KINGS STREET,NEWCASTLE-UNDER-LYME,UPPER TRENT,T/01/35196/O,TRIB OF LYME BROOK,Freshwater river,Sewage - water company,SJ8475046270,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,385271,346311
4060,BROCKSFORD STREET (LONGTON - BROCKSFORD ST (CSO)),0,0,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),159 BROCKSFORD STREET,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/35711/O,COCKSTER BROOK,Freshwater river,Sewage - water company,SJ8990043840,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,2019,,,390438,344218
4061,CHAPLIN ROAD NO.2 CSO (DRESDEN - CHAPLIN RD (CSO)),1,0,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),173 CHAPLIN ROAD,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/35787/O,TRIBUTARY OF LONGTON BROOK,Freshwater river,Sewage - water company,SJ9130142345,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,391406,342432
4062,GREASLEY ROAD CSO (ABBEY HULTON -GREASLEY ROAD 3 (CSO)),4,0,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 188 GREASLEY ROAD,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/35799/O,TRIBUTARY OF THE RIVER TRENT,Freshwater river,Sewage - water company,SJ9040048700,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,391165,348230
4063,FURLONG ROAD COMBINED STORM O'FLOW (TUNSTALL-GREENWAY (CSO)),0,0,99.92%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR 163 FURLONG ROAD,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/35830/O,SCOTIA BROOK,Freshwater river,Sewage - water company,SJ8625051850,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,386245,351823
4064,off BLURTON ROAD CSO (LONGTON - BLURTON ROAD (CSO)),33,30,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF 6 POPLAR DRIVE,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/35837/O,LONGTON BROOK,Freshwater river,Sewage - water company,SJ8946742850,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,389536,342898
4065,AMISON STREET (LONGTON - AMISON STREET (CSO)),0,0,20.90%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),LONGTON,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/36226/O,ANCHOR BROOK,Freshwater river,Sewage - water company,SJ9118043530,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,391180,343530
4066,STANHOPE ROAD/DAVISON ROADJCTSO (SMETHWICK-STANHOPE RD/DAVISON RD (CSO)),11,5,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR 60 STANHOPE ROAD,SANDWELL,UPPER TAME TO CONF REA,T/08/35707/O,THIMBLEMILL BROOK,Freshwater river,Sewage - water company,SP0200087280,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,401983,287286
4067,MELLOR STREET/HANDLEY STREET/ (PACKMOOR - BULL LA/MELLOR ST 97 (CSO)),3,1,99.99%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OUTSIDE 97 MELLOR STREET,NEWCASTLE-UNDER-LYME,UPPER TRENT,T/01/36257/O,FORD GREEN BROOK,Freshwater river,Sewage - water company,SJ8745054790,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,387031,354625
4068,PORTHILL STORM SEWAGE OVERFLOW (PORTHILL - ORFORD STREET (CSO)),35,255,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 64A ORFORD STREET,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/36418/O,FOWLEA BROOK,Freshwater river,Sewage - water company,SJ8603049030,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,385850,348969
4069,EASTON AVENUE/NETHERSTOWE LANE (LICHFIELD - EASTERN AVENUE 1 (CSO)),7,4,91.18%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),LICHFIELD,LICHFIELD,TRENT TO CONF TAME/MEASE,T/07/36393/O,CURBOROUGH BROOK,Freshwater river,Sewage - water company,SK1239011360,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,412390,311360
4070,WALSALL-JESSON RD (CSO),0,0,99.39%,SEVERN TRENT WATER LIMITED,Undefined or Other,JESSON ROAD,WALSALL,UPPER TAME TO CONF REA,T/08/12316/O,FULL BROOK,Freshwater river,Sewage - water company,SP0233097480,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402330,297480
4071,WESTMINSTER ROAD CSO (BIRCHFIELD-WESTMINSTER ROAD (CSO)),4,2,99.99%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WESTMINSTER ROAD,BIRMINGHAM,UPPER TAME TO CONF REA,T/08/36132/O,RIVER TAME,Freshwater river,Sewage - water company,SP0660091250,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,406290,290640
4072,GROSVENOR RD SSO (BIRCHFIELD - GROSVENOR ROAD (CSO)),3,1,21.23%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 223 WELLINGTON ROAD,BIRMINGHAM,UPPER TAME TO CONF REA,T/08/36173/O,RIVER TAME,Freshwater river,Sewage - water company,SP0660091260,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,406286,290902
4073,MIDDLE ACRE ROAD/MILL LANE CSO (BARTLEY GREEN - SENNELEYS PARK (CSO)),1,0,99.83%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),60 MILL LANE,BIRMINGHAM,RIVER REA,T/09/21593/O,BARTLEYS BROOK,Freshwater river,Sewage - water company,SP0112082480,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,401121,282582
4074,DIGBETH HIGH STREET CSO (DIGBETH - DIGBETH/UPPER MILL LANE (CSO)),41,31,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),21 DIGBETH,BIRMINGHAM,RIVER REA,T/09/36065/O,VIA A SWS TO THE RIVER REA,Freshwater river,Sewage - water company,SP0771086240,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,407486,286481
4075,ANDERSON ROAD (BEARWOOD - ANDERSON ROAD (CSO)),0,0,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR TO 13 ANDERSON ROAD,SANDWELL,RIVER REA,T/09/36150/O,CHAD BROOK,Freshwater river,Sewage - water company,SP0255085990,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402317,286187
4076,STAN LEY ROAD STORM OVERFLOW (OLDBU RY - STAN LEY RD - OPPOSITE 27 (CSO)),23,14,99.87%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 27 STANLEY ROAD,SANDWELL,RIVER REA,T/09/36170/O,WELSH'S BROOK,Freshwater river,Sewage - water company,SP0061084510,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,400476,285285
4077,CHURCH HILL COMBINED STORM OVERFLOW (NORTHFIELD - CHURCH HILL (CSO)),0,0,76.08%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CHURCH HILL,BIRMINGHAM,RIVER REA,T/09/36172/O,RIVER REA,Freshwater river,Sewage - water company,SP0257078860,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402570,278860
4078,MILL LANE COMBINED EWAGE OVERFLOW (NORTHFIELD- MILL LANE (CSO)),21,92,99.96%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 21 MILL LANE,BIRMINGHAM,RIVER REA,T/09/36174/O,RIVER REA,Freshwater river,Sewage - water company,SP0234078760,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402217,278783
4079,SS FROM QUARRY LANE CSO NORTHFIELD (NORTHFIELD - QUARRY LANE (CSO)),8,5,66.14%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),QUARRY LANE,BIRMINGHAM,RIVER REA,T/09/36175/O,RIVER REA,Freshwater river,Sewage - water company,SP0234078760,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402281,278811
4080,VICARAGE ROAD COMBINED STORM O'FLOW (HARBORNE - VICARAGE ROAD O/S 91 (CSO)),114,1594,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR TO 91 VICARAGE ROAD,BIRMINGHAM,RIVER REA,T/09/36306/O,HARTS GREEN BROOK,Freshwater river,Sewage - water company,SP0251083970,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402481,284147
4081,BORDESLEY STREET CSO (BIRMINGHAM - BORDESLEY STREET (CSO)),10,2,99.82%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR 21 BORDESLEY STREET,BIRMINGHAM,RIVER REA,T/09/36424/O,RIVER REA,Freshwater river,Sewage - water company,SP0769986711,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,407699,286711
4082,GREEN STREET COMBINED STORM O'FLOW (BIRMINGHAM - GREEN STREET (CSO)),0,0,58.87%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),BIRMINGHAM,BIRMINGHAM,RIVER REA,T/09/36504/O,RIVER REA,Freshwater river,Sewage - water company,SP0784086340,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,407920,286220
4083,NO.15 GREEN LANES CSO (ERDINGTON - GREEN LANES (CSO)),4,2,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR 62 GREEN LANES,BIRMINGHAM,TAME TO CONF WITH BLYTHE,T/10/35737/O,RIVER TAME,Freshwater river,Sewage - water company,SP1031092280,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,411520,293272
4084,KIMBLE GROVE COMBINED STORM O'FLOW (TYBURN - KIMBLE GROVE (CSO)),126,2911,73.65%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),JUNCTION OF TYBURN ROAD & PYPE,BIRMINGHAM,TAME TO CONF WITH BLYTHE,T/10/36054/O,"DUNLOP CONDUIT,TRIB RIVER TAME",Freshwater river,Sewage - water company,SP1284091350,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,412840,291350
4085,NANSEN ROAD CSO (WASHWOOD HEATH - NANSEN ROAD 52 (CSO)),20,23,97.32%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),52 NANSEN ROAD,BIRMINGHAM,TAME TO CONF WITH BLYTHE,T/10/36322/O,WASHWOOD HEATH BROOK,Freshwater river,Sewage - water company,SP1082088310,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,410413,288135
4086,CSO AT JUNCTION of SILVERDALE ROAD (ERDINGTON - WOODCOTE ROAD (SO)),2,0,99.70%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR TO 17 WOODCOTE ROAD,BIRMINGHAM,TAME TO CONF WITH BLYTHE,T/10/36441/O,DUNLOPE CARRIER,Freshwater river,Sewage - water company,SP1332090260,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,412600,292143
4087,COCKS MOORS WOODS GOLF COURSE SSO (KINGS HEATH-COCKS MOORS LEIS CEN (CSO)),16,39,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),ALCESTER ROAD SOUTH,BIRMINGHAM,RIVER COLE,T/12/26865/O,CHINN BROOK,Freshwater river,Sewage - water company,SP0783079720,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,407783,279757
4088,SAREHOLE ROAD COMBINED STORM O'FLOW (HALL GREEN - SAREHOLE ROAD 323 (CSO)),65,145,91.27%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF 323 SAREHOLE ROAD,BIRMINGHAM,RIVER COLE,T/12/36045/O,VIA A SWS TO THE RIVER COLE,Freshwater river,Sewage - water company,SP0995081540,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,410056,281483
4089,GOLDEN HILLOCK ROAD STORM OVERFLOW (SMALL HEATH - GOLDEN HILLOCK ROAD (CSO)),12,14,98.49%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OFF GOLDEN HILLCOCK ROAD,BIRMINGHAM,RIVER COLE,T/12/36422/O,SPARK BROOK,Freshwater river,Sewage - water company,SP1019084440,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,409649,284734
4090,GLASTONBURY RD COMBINED STORM of LOW (YARDLEY WOOD - 38 GLASTONBURY RD (CSO)),17,6,99.37%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),REAR OF 40 GLASTONBURY ROAD,BIRMINGHAM,RIVER COLE,T/12/36476/O,CHINN BROOK,Freshwater river,Sewage - water company,SP0906080020,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,409073,279998
4091,WESTRAY DRIVE STORM OVERFLOW (HINCKLEY - WESTRAY DRIVE (CSO)),2,1,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OFF WESTRAY DRIVE,RUGBY,UPPER ANKER TO CONF SENCE,T/19/20313/O,BATTLING BROOK,Freshwater river,Sewage - water company,SP4199091470,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,442166,294257
4092,FRIARY AVENUE/BIRMINGHAM ROAD CSO (LICHFIELD - BIRMINGHAM ROAD (CSO)),11,4,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 85 BIRMINGHAM ROAD,LICHFIELD,TRENT TO CONF TAME/MEASE,T/22/35822/O,CURBOROUGH BROOK,Freshwater river,Sewage - water company,SK1215010240,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,411603,308869
4093,"SSO AT BOWERS HALL, BAKEWELL (STANTON IN PEAK - BOWERS HALL (CSO))",94,1597,97.76%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NEAR BOWERS RAKE,DERBYSHIRE DALES,RIVER WYE,T/39/45884/O,RIVER LATHKILL,Freshwater river,Sewage - water company,SK2349065080,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,423494,365057
4094,MERCHANT AVENUE - STM O/F-SWS (SPONDON - DERBY RD/MERCHANT AVE (CSO)),11,89,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OFF DERBY ROAD,CITY OF DERBY UA,LOWER DERWENT,T/48/20194/O,RIVER DERWENT,Freshwater river,Sewage - water company,SK3948035600,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,439471,335603
4095,NEDHAM ROAD STORM WATER OVERFLOW (LEICESTER - NEDHAM STREET (CSO)),11,2,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OFF NEDHAM ST/CHARNWOOD ST JCT,CITY OF LEICESTER UA,SOAR TO WREAKE/ROTHLEY BK,T/53/20332/O,WILLOW BROOK,Freshwater river,Sewage - water company,SK5995004850,MISCELLANEOUS DISCHARGES - SURFACE WATER,2019,,,459945,304850
4096,HAMMERCUFFE ROAD STORM OVERFLOW (HUMBERSTONE - HAMMERCUFFE ROAD (CSO)),17,48,58.51%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),HAMMERCLIFFE ROAD,CITY OF LEICESTER UA,SOAR TO WREAKE/ROTHLEY BK,T/53/21449/O,WILLOW BROOK,Freshwater river,Sewage - water company,SK6001005410,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,460010,305410
4097,AREAS of CARLTON CSOS (MARSHALL RD) (CARLTON - VALLEY ROAD (CSO)),3,2,99.87%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),CARLTON,GEDLING,TRENT TO CONF WITH DEVON,T/64/46346/O,THE OUSE DYKE,Freshwater river,Sewage - water company,SK6220041940,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,459744,342241
4098,CSO AT STEADFOLDS LANE (THURCROFT- STEADFOLDS LANE (CSO)),22,82,87.59%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OFF STEADFOLDS LANE,ROTHERHAM,OLDCOATES DYKE,T/76/45854/O,BROOKHOUSE DYKE,Freshwater river,Sewage - water company,SK5069088980,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,450678,388898
4099,MELTON MOWBRAYAREAS/STM-EMG-SWS (MELTON -ASFORDBY ROAD 137 (CSO)),68,230,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),MELTON MOWBRAY,MELTON,LOWER WREAKE,T/55/03724/O,RIVER WREAKE (EYE) TRIB,Freshwater river,Sewage - water company,SK7510018900,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,2019,,,475100,318900
4100,STAPLETON PUMPING STATION SSO (STAPLETON - DADUNGTON LANE (SPS)),11,28,99.87%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),OFF STAPLETON LANE,HINCKLEY & BOSWORTH,RIVER SENCE,T/20/30311/O,TRIB OF SIBSON BROOK,Freshwater river,Sewage - water company,SP4277099040,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,443079,298928
4101,FIELD ADJ TO CHURCH STREET (BROSELEY - CHURCH ST (FIELD 7365) (SO)),5,12,100.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),STORM SEWAGE OVERFLOW,SHROPSHIRE UA,"UPPER MID-SEVERN, ENGLAND",S/02/55701/O,TRIB OF RIVER SEVERN,Freshwater river,Sewage - water company,SJ6779001710,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,367780,301720
4102,PEDMORE ROAD STORM OVERFLOW (BRIERLEY HILL- PEDMORE ROAD (CSO) ),33,313,99.62%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),9 NOTTINGHAM WAY,DUDLEY,RIVER STOUR (WORCS),S/06/55805/O,SALTWELLS BROOK,Freshwater river,Sewage - water company,SO9291087000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,392796,287512
4103,STOUR VALE RD STORM SEWAGE O/F (LYE - STOUR VALE ROAD (CSO)),7,15,99.87%,SEVERN TRENT WATER LIMITED,WwTW/Sewage Treatment Works (water company),STOUR VALE ROAD,DUDLEY,RIVER STOUR (WORCS),S/08/55810/O,UNNAMED TRIB OF RIVER STOUR,Freshwater river,Sewage - water company,SO9284084710,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,392760,284830
4104,LOWER OXFORD ROAD SSO (ETRURIA - ETRURIA ROAD (CSO)),3,0,99.94%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),32 LOWER OXFORD ROAD,C. STOKE-ON-TRENT UA,UPPER TRENT,T/01/22738/O,FOWLEA BROOK,Freshwater river,Sewage - water company,SJ8658047000,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,386123,346725
4105,THIMBLEMILL ROAD STORM OVERFLOW (SMETHWICK-THIMBLEMILL ROAD (CSO)),0,0,77.80%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),OPPOSITE 104 THIMBLEMILL ROAD,SANDWELL,UPPER TAME TO CONF REA,T/08/35227/O,THIMBLEMILL BROOK,Freshwater river,Sewage - water company,SP0165087070,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,401824,286826
4106,SIR JOHN'S ROAD CSO (CANNON HILL PARK- off PERSHORE RD (CSO)),11,50,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),WEST SIDE OF CANNON HILL PARK,BIRMINGHAM,RIVER REA,T/09/36130/O,RIVER REA,Freshwater river,Sewage - water company,SP0635083560,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,406311,283421
4107,COCKS MOOR WOODS GOLF COURSE CSO (BRANDWD END-COCKS MOOR WD GLF CRSE (CSO)),48,74,99.88%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),APP 300M NE TO REAR OF YEW TREE,BIRMINGHAM,RIVER COLE,T/12/36474/O,CHINN BROOK,Freshwater river,Sewage - water company,SP0826079820,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,408281,279726
4108,off WALKER DRIVE (A) CSO (SALTLEY - MINWORTH 14' Sewer (CSO)),0,0,0.00%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),NECHELLS,BIRMINGHAM,RIVER REA,TSC1716,RIVER TAME,Freshwater river,Sewage - water company,SP1018088760,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,410175,289765
4109,NORTON CANES PUMPING STATION (NORTON CANES - BETTYS LANE (SPS)),55,246,86.63%,SEVERN TRENT WATER LIMITED,Pumping Station on Sewerage Network (water company),BETTYS LANE,CANNOCK CHASE,RIVER PENK,T/03/35596/O,GAINS BROOK,Freshwater river,Sewage - water company,SK0218007380,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,402180,307380
4110,off WALKER DRIVE (B) CSO (GRAVELLY HILL - off WALKER DR B (SO)),18,36,99.92%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),UNIT 63-64,BIRMINGHAM,RIVER REA,TSC2055,RIVER TAME,Freshwater river,Sewage - water company,SP1022088770,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,410143,289661
4111,FOXHILL ROAD CSO (CARLTON - WORTH ST/FOXHILL RD (CSO)),105,966,99.70%,SEVERN TRENT WATER LIMITED,Storm Tank/CSO on Sewerage Network (water company),29 FOXHILL ROAD,GEDLING,TRENT TO CONF WITH DEVON,TSC2178,OUSE DYKE,Freshwater river,Sewage - water company,SK6220441934,SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY,2019,,,461037,341526
